Prod_Id,Prod_Name,Prod_Manufacturer_Address,Prod_Country,Prod_Price,Prod_Disc_Price,Prod_Discount_Percentage,Prod_Description,Prod_Category,Prod_Sub_Category,Prod_Brand,Prod_Gender,Prod_Offer_Disc_Title,Prod_Offer_Disc,Prod_Attribute,Prod_Length,Prod_Care,Prod_Size,Prod_Fabric
1673725,Roadster Men Navy Blue Striped Round Neck T-shirt,"STAR APPARELH.NO:B-24-3102/6/1, STREET NO.1,,NIRANKARI COLONY, SUNDER NAGAR,,LUDHIANA,PUNJAB,141007",India,699,419,(40% OFF),['Navy Blue and white striped T shirt has a round neck short sleeves'],Tshirts,Topwear,Roadster,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Round Neck,Short Sleeves,Machine Wash,Regular Fit,Cotton
1997244,Roadster Men Grey Melange Printed Round Neck T-shirt,"KB EXPORTSD No :6 D.S Maragathammail layout,60 feet road,dharmapuram road tirupur,TIRUPUR,TAMILNADU,641608",India,699,489,(30% OFF),['Grey Melange and navy blue printed T shirt has a round neck long sleeves'],Tshirts,Topwear,Roadster,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Round Neck,Long Sleeves,Machine Wash,Regular Fit,Cotton
1678080,Difference of Opinion Navy Printed T-shirt,"ELCINCO INC, No 17 Amarjothi, Sathyamoorthy nagar, 1 st street, Kangeyam Road, Tirupur",India,899,449,(50% OFF),"[""<a href='/navy bluesrc=pd'class='seolink'>Navy blue</a> printed waist length T shirt has a round neck long sleeves""]",Tshirts,Topwear,Difference of Opinion,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Round Neck,Long Sleeves,Machine Wash,Regular Fit,Cotton
7226741,GAP Men's White Overdyed Polo Shirt with logo,"ARVIND LIFESTYLE BRANDS LTD., DU PARC TRINITY, 8th FLOOR, 17th M.G. ROAD, BANGALORE 560001",India,1799,1619,(10% OFF),"[""GAP is one of the world's most iconic <a href='/apparelsrc=pd'class='seolink'>apparel</a> and <a href='/accessoriessrc=pd'class='seolink'>accessories</a> brands and the authority on American <a href='/casualsrc=pd'class='seolink'>casual</a> style. Today GAP continues to be the best destination for wardrobe essentials such as denim tees <a href='/hoodiessrc=pd'class='seolink'>hoodies</a> and great fitting <a href='/pantssrc=pd'class='seolink'>pants</a>.<a href='/shortsrc=pd'class='seolink'>Short</a> sleeves flat rib knit cuffsFlat rib knit polo collar button placketApplique logo at chest""]",Tshirts,Topwear,GAP,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Polo Collar,Short Sleeves,Machine Wash,Regular Fit,Blended
6971426,Superdry Men Black Solid Polo Collar T-shirt,"Marketed By: Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005",IND,4999,4999,No Discount,"[""<a href='/blacksrc=pd'class='seolink'>Black</a> <a href='/solidsrc=pd'class='seolink'>solid</a> T shirt with embroidered detail has a polo collar <a href='/shortsrc=pd'class='seolink'>short</a> sleeves""]",Tshirts,Topwear,Superdry,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Polo Collar,Short Sleeves,Machine Wash,Regular Fit,Cotton
4318138,HERE&NOW Men Black Printed Round Neck T-shirt,"RADHA GOVINDA TEXTILENETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR, KOLKATA - 700111,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR, KOLKATA - 700111,NORTH24PARGANAS,WEST BENGAL,700111",India,749,524,(30% OFF),"[""<a href='/blacksrc=pd'class='seolink'>Black</a> and <a href='/orangesrc=pd'class='seolink'>orange</a> printed T shirt has a round neck <a href='/shortsrc=pd'class='seolink'>short</a> sleeves""]",Tshirts,Topwear,HERE&NOW,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Round Neck,Short Sleeves,Machine Wash,Regular Fit,Cotton
4046705,Maniac Men Navy Blue Checked Round Neck T-shirt,Friske Knits,India,1069,427,(60% OFF),['Navy Blue checked T shirt has a round neck long sleeves'],Tshirts,Topwear,Maniac,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Round Neck,Long Sleeves,Machine Wash,Slim Fit,Cotton
1295511,Roadster Men Navy & Blue Melange Colour Blocked T-Shirt,"YES ENTERPRISES2996/97,back side P.N.B Sunder Nagar,LUDHIANA,PUNJAB,141008",India,499,299,(40% OFF),['Navy blue and blue melange grey colour blocked waist length T shirt has a V neck short sleeves'],Tshirts,Topwear,Roadster,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",V-Neck,Short Sleeves,Machine Wash,Regular Fit,Cotton
2383694,HERE&NOW Men Navy Blue & Grey Striped Round Neck T-shirt,"SHRI GANAPATHI SOURSES115/2 Behind SSK Knit Printers, Palladam Road, Mangalam, Tripur,TIRUPPUR,TAMILNADU,641663",India,849,509,(40% OFF),"[""<a href='/navy bluesrc=pd'class='seolink'>Navy blue</a> and <a href='/greysrc=pd'class='seolink'>grey</a> striped T shirt has a round neck long sleeves""]",Tshirts,Topwear,HERE&NOW,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Round Neck,Long Sleeves,Machine Wash,Regular Fit,Cotton
1708419,Roadster Men Maroon T-shirt,"MACFIT FASHIONSNO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,TIRUPUR,TAMILNADU,641603",India,599,359,(40% OFF),['Maroon T shirt with printed detail has a round neck short sleeves'],Tshirts,Topwear,Roadster,Men,Flat 200 Cashback on Airtel Payments Bank,"Min spend Rs 2,000; for first time transaction. TCA",Round Neck,Short Sleeves,Machine Wash,Regular Fit,Cotton
